Task_id,1,1,2,2,1,2,1,2
Metric,Speedup,Efficiency,Speedup,Efficiency,Iso-efficiency,Iso-efficiency,Sequential Fraction,Sequential Fraction
"nodes = 2, thread = 2",1.49,0.745,1.4,0.7,O(p^2),O(p^2),0.3796544617,0.4014954899
"nodes = 2, thread = 4",1.69,0.845,1.6,0.8,,,,
"nodes = 2, thread = 8",1.81,0.905,1.72,0.86,,,,
"nodes = 4, thread = 2",2.39,0.5975,2.3,0.575,,,,
"nodes = 4, thread = 4",2.54,0.635,2.45,0.6125,,,,
"nodes = 4, thread = 8",2.66,0.665,2.57,0.6425,,,,
"nodes = 8, thread = 2",3.46,0.4325,3.37,0.42125,,,,
"nodes = 8, thread = 4",3.58,0.4475,3.49,0.43625,,,,
"nodes = 8, thread = 8",3.72,0.465,3.63,0.45375,,,,